buis,"[1000.0, 145]"
mind,"[0.006500341955597013, 52]"
1,"[0.006490436515552345, 239]"
rest,"[0.006489829427887872, 102]"
great,"[0.006423530732408805, 411]"
reason,"[0.0064002053504197826, 131]"
minute,"[0.006397705069977604, 78]"
plan,"[0.006396746195797751, 379]"
fact,"[0.006369528952690987, 213]"
hold,"[0.006365593059317252, 248]"
20,"[0.006346282135184116, 259]"
find,"[0.0063291677106177766, 632]"
fall,"[0.0063045246781646015, 282]"
see,"[0.006303928592246842, 432]"
bring,"[0.006299361782259747, 333]"
case,"[0.006276226637751546, 200]"
lot,"[0.006270143954200698, 269]"
home,"[0.006264490544921491, 284]"
seven,"[0.006260931848571944, 114]"
month,"[0.0061809587051728, 431]"
follow,"[0.0061680044189583545, 323]"
ask,"[0.006160987948578124, 148]"
allow,"[0.006137227958399385, 417]"
instead,"[0.006098832678215904, 120]"
centre,"[0.006094503287031674, 137]"
head,"[0.006077690260055875, 160]"
lead,"[0.0060575947276429246, 735]"
set,"[0.006042233108314947, 442]"
return,"[0.006034126231124767, 177]"
turn,"[0.0059463200837221175, 268]"
expect,"[0.005922494923238927, 388]"
place,"[0.005911780484896634, 465]"
away,"[0.005905637317956412, 233]"
remain,"[0.005887210690916362, 261]"
kind,"[0.005855179175917345, 177]"
thing,"[0.005814710795888698, 262]"
feel,"[0.005809593361007787, 111]"
will,"[0.005793826378672381, 56]"
$,"[0.005763071567456056, 163]"
2,"[0.005747708930610085, 518]"
10,"[0.005686104764669967, 415]"
believe,"[0.005639880022156039, 140]"
add,"[0.005623972883807318, 494]"
old,"[0.005578834488645247, 147]"
have,"[0.005569990196897906, 131]"
work,"[0.0055023669007421136, 683]"
new,"[0.0055010276968331575, 1169]"
look,"[0.005435584057444289, 522]"
big,"[0.005427375588216864, 387]"
call,"[0.0054210243460851735, 562]"
open,"[0.005389823419171321, 235]"
ago,"[0.005381987443889826, 207]"
hard,"[0.005375998644745947, 173]"
week,"[0.005273114981414729, 358]"
long,"[0.005235695764783797, 743]"
little,"[0.005216560932925668, 222]"
early,"[0.005186577188142467, 416]"
think,"[0.005162227158553362, 342]"
make,"[0.0051532279375350164, 503]"
point,"[0.005101542676588136, 409]"
close,"[0.005088239097432817, 297]"
tell,"[0.005037674349988514, 298]"
leave,"[0.0049987952850366274, 312]"
end,"[0.004946587358504043, 394]"
way,"[0.004924327862662863, 634]"
run,"[0.00491957215910085, 240]"
canada,"[0.004875925624386393, 107]"
well,"[0.004868380689039903, 657]"
play,"[0.004768129806889129, 256]"
include,"[0.004761477680051217, 800]"
give,"[0.00474089413689175, 344]"
like,"[0.004721478490416035, 665]"
take,"[0.0046994512090996286, 592]"
late,"[0.004660378201469628, 413]"
good,"[0.0046401604096734245, 264]"
know,"[0.004620378599873594, 627]"
start,"[0.004573157065832215, 391]"
year,"[0.004554964244019792, 1267]"
want,"[0.004393139689804278, 233]"
get,"[0.004305614364798581, 290]"
try,"[0.0042080909031126474, 177]"
go,"[0.0037935942010650127, 411]"
time,"[0.003675653138099154, 1013]"
say,"[0.0033665358190403576, 1283]"
come,"[0.0033131539929287255, 623]"
>,"[1.3712751128513224e-06, 1749]"
