buis,"[1000.0, 145]"
livelihood,"[0.024524143663750105, 104]"
governments,"[0.024333071818348227, 66]"
variability,"[0.024184341192064123, 91]"
analysis,"[0.024092739771858628, 265]"
observation,"[0.024050721280641285, 471]"
farm,"[0.02400346784338731, 91]"
height,"[0.023980257737312712, 179]"
station,"[0.02393502323511267, 238]"
circulation,"[0.02391006567795604, 115]"
202,"[0.023854055046655085, 55]"
retreat,"[0.0237704080093489, 81]"
african,"[0.02373116576239964, 75]"
spatial,"[0.023674818582232734, 62]"
sunlight,"[0.023647666096887683, 167]"
seawater,"[0.02355919458333624, 61]"
centimeter,"[0.023498830428431167, 79]"
geological,"[0.02346433060830812, 70]"
wind,"[0.023421546282940846, 321]"
assembly,"[0.02341429316143796, 96]"
erosion,"[0.02341409068642328, 52]"
agriculture,"[0.02340455170338093, 193]"
weather,"[0.023366477656041048, 513]"
equator,"[0.023360854702737428, 64]"
laboratory,"[0.023357771494145037, 625]"
agricultural,"[0.023262600662123132, 140]"
satellites,"[0.023119248563326752, 70]"
tide,"[0.023072262280674473, 52]"
meter,"[0.02304427009574274, 207]"
resilient,"[0.0230143483782927, 91]"
desert,"[0.022966163138778316, 91]"
displace,"[0.022802509269806214, 57]"
clouds,"[0.022637506456186018, 56]"
degree,"[0.022572200156252557, 313]"
africa,"[0.022452010134440155, 206]"
forum,"[0.02230013231305952, 51]"
intensify,"[0.022278904524105633, 53]"
conflict,"[0.022259250529056137, 93]"
concentration,"[0.022112936257756514, 203]"
layer,"[0.021883011299707447, 212]"
organisation,"[0.021875347140054142, 53]"
salt,"[0.02185772564567664, 69]"
plant,"[0.02184212698866053, 322]"
fossil,"[0.021753316569461955, 178]"
vantage,"[0.021697419310159186, 59]"
boulder,"[0.021581788733881748, 94]"
valley,"[0.021556968484555857, 66]"
a.m.,"[0.021492425279127852, 63]"
emit,"[0.021471108921973375, 144]"
1980,"[0.021407589589649098, 62]"
website,"[0.021299375079127526, 90]"
storage,"[0.02127963307687636, 77]"
space,"[0.02124406071568273, 863]"
model,"[0.02123462439905565, 509]"
absorb,"[0.02123456032089955, 219]"
354,"[0.021217904973347957, 148]"
center,"[0.021161262169328003, 685]"
brief,"[0.02112855768185604, 79]"
