buis,"[1000.0, 145]"
analyze,"[0.015122324070091024, 178]"
extensive,"[0.015097321697432322, 62]"
variable,"[0.015095497669257352, 57]"
user,"[0.01508473703093315, 54]"
assessment,"[0.015068484668553752, 87]"
probe,"[0.015053652673078545, 53]"
decrease,"[0.015044338967653928, 137]"
generation,"[0.015043310446537301, 100]"
sky,"[0.015033367369857276, 76]"
calculate,"[0.01502738205085669, 135]"
site,"[0.014968843528765053, 118]"
eastern,"[0.014953533180777323, 109]"
volume,"[0.01493560635316984, 79]"
engineer,"[0.014924915620947596, 123]"
measure,"[0.01488713134051257, 586]"
interaction,"[0.014761824692124736, 81]"
induce,"[0.014761818479482661, 58]"
accelerate,"[0.01472622669532077, 99]"
transport,"[0.01469328047010328, 109]"
phenomenon,"[0.014664793214133519, 113]"
plane,"[0.014641992980839152, 86]"
region,"[0.014639177541874174, 481]"
coverage,"[0.014634445632534321, 109]"
mexico,"[0.014602840059992043, 55]"
accurately,"[0.014568093704375087, 93]"
characteristic,"[0.014546070815301702, 65]"
cap,"[0.014542232360502455, 57]"
northern,"[0.014514607493211224, 191]"
author,"[0.014494172179516037, 233]"
rise,"[0.014484457125756144, 366]"
accurate,"[0.014461749625348526, 173]"
2010,"[0.014454025181558097, 155]"
capability,"[0.014446335382455794, 112]"
efficient,"[0.014410761693565751, 53]"
explore,"[0.014400915268886852, 103]"
signal,"[0.01433460431413501, 122]"
july,"[0.014330503573474398, 121]"
sample,"[0.014303299693269874, 90]"
peak,"[0.014298229613141448, 84]"
land,"[0.014293853166541807, 469]"
century,"[0.014248187735638254, 190]"
rapid,"[0.014230989408977044, 119]"
pressure,"[0.014161516696951187, 104]"
twin,"[0.014115859783435193, 59]"
2002,"[0.014055261101935482, 84]"
equivalent,"[0.014052200978923554, 56]"
collaboration,"[0.014038454343797918, 93]"
yield,"[0.014017539245511022, 61]"
researchers,"[0.014013719047555552, 106]"
remote,"[0.014009296011198389, 192]"
approximately,"[0.013981224733171002, 92]"
activity,"[0.013946320279364887, 271]"
coordinate,"[0.01392732924463962, 51]"
harmful,"[0.013925797762589712, 54]"
stable,"[0.013906889431829585, 52]"
massachusetts,"[0.013902403854205514, 51]"
january,"[0.013864644415240664, 116]"
integrate,"[0.013842941785012958, 72]"
availability,"[0.01380018125181801, 51]"
fish,"[0.013793123533248994, 60]"
unusual,"[0.013771248780961016, 51]"
loss,"[0.013716167273912602, 211]"
stress,"[0.013711997656314232, 82]"
channel,"[0.013708199800061863, 54]"
speed,"[0.013706103994807824, 144]"
collection,"[0.013700122764672645, 53]"
texas,"[0.013646365246025935, 70]"
vital,"[0.01357608360905075, 64]"
alan,"[0.013541713409218737, 147]"
precise,"[0.013530371023206577, 83]"
locate,"[0.013521746514190813, 102]"
version,"[0.013519741372454023, 54]"
importance,"[0.01350952970663122, 55]"
globe,"[0.013503164393787596, 189]"
dynamic,"[0.013495596442891831, 102]"
subject,"[0.013492950770820085, 53]"
march,"[0.013487097921223505, 120]"
smith,"[0.01344411703674118, 53]"
frequent,"[0.013436370666896402, 67]"
content,"[0.013398304816837844, 72]"
highlight,"[0.013392557369459455, 83]"
platform,"[0.013368252081195946, 60]"
22,"[0.013361070010239033, 75]"
globally,"[0.013352360824096394, 100]"
structure,"[0.013326067430058543, 91]"
useful,"[0.013324455164233763, 98]"
australia,"[0.013323357887526312, 58]"
michael,"[0.013307004519478421, 95]"
information,"[0.01328650903002081, 556]"
tool,"[0.013248604289244459, 150]"
picture,"[0.01324577288140303, 168]"
material,"[0.013231325174379275, 79]"
resource,"[0.01322752666007404, 171]"
collect,"[0.013202959218901458, 332]"
discovery,"[0.013193412738402894, 77]"
event,"[0.013191958355025851, 246]"
solution,"[0.013169243280379451, 52]"
predict,"[0.013165881851320378, 244]"
east,"[0.013071964789932352, 154]"
summer,"[0.013065549460310619, 263]"
uncertainty,"[0.013062168760001937, 88]"
september,"[0.013046352983110732, 152]"
josh,"[0.01304435854551809, 58]"
facility,"[0.013039845216037736, 105]"
2014,"[0.013031956844125163, 175]"
urban,"[0.013029631710421591, 60]"
mechanism,"[0.01298616204504523, 74]"
eye,"[0.012973723179125724, 107]"
dramatic,"[0.012972857617890313, 56]"
component,"[0.012965242282314082, 102]"
scale,"[0.012960263863504035, 267]"
2005,"[0.012921408279998617, 76]"
power,"[0.0129002034745841, 159]"
blue,"[0.012880128246755095, 92]"
moderate,"[0.012876511728151172, 108]"
multi,"[0.012863066785435992, 105]"
network,"[0.012843835100318297, 80]"
cover,"[0.012811191539698424, 369]"
november,"[0.012776298383927671, 97]"
enable,"[0.012762053852894865, 143]"
finding,"[0.012751270029554784, 112]"
green,"[0.012723265502630952, 118]"
paper,"[0.01270742620474199, 181]"
october,"[0.012695741162894637, 132]"
participate,"[0.012685965445582354, 68]"
contain,"[0.012682026121325152, 117]"
average,"[0.012680625932313398, 307]"
mount,"[0.012660266465466823, 59]"
alter,"[0.012628032155893523, 55]"
operation,"[0.012620785619893674, 198]"
fresh,"[0.012617837136280256, 57]"
western,"[0.012589025857117415, 152]"
distance,"[0.012587691428391617, 87]"
relative,"[0.012569114730591791, 58]"
one,"[0.012546750885714159, 61]"
discuss,"[0.01252414672898407, 55]"
2011,"[0.012510669280959272, 139]"
vehicle,"[0.012495350817141168, 66]"
view,"[0.012489600462913787, 239]"
comparison,"[0.012488869331393449, 76]"
sensitive,"[0.01248838538517876, 66]"
combination,"[0.012465719613038094, 86]"
evaluate,"[0.012449948883654045, 69]"
environmental,"[0.01244901352857794, 220]"
field,"[0.01244782098613231, 283]"
effect,"[0.012417054953634783, 385]"
application,"[0.01241644928937649, 83]"
population,"[0.012413583885074674, 102]"
sustain,"[0.012406615116559369, 68]"
fraction,"[0.012404154848888297, 52]"
29,"[0.012394128108699057, 51]"
natural,"[0.012374796249426832, 296]"
deploy,"[0.012368008492519657, 58]"
source,"[0.012358122177523915, 257]"
principal,"[0.012332267151148619, 156]"
trace,"[0.012331646344076175, 52]"
perspective,"[0.012326451847931758, 69]"
1970s,"[0.012240577672282066, 59]"
red,"[0.012230555384873118, 94]"
york,"[0.012201226824775088, 117]"
distribution,"[0.012192067490621345, 107]"
investigator,"[0.012153985973269395, 158]"
human,"[0.012141191667445907, 345]"
2003,"[0.01213405522335347, 64]"
rock,"[0.012120836619583516, 52]"
florida,"[0.012116831539362136, 75]"
knowledge,"[0.012116506564661398, 117]"
supply,"[0.012114085961284774, 94]"
spring,"[0.012094094329192727, 148]"
enhance,"[0.01206974982615547, 71]"
system,"[0.01206445585722221, 566]"
interact,"[0.012059248194068653, 67]"
initial,"[0.012058463868514245, 58]"
growth,"[0.012044510681319148, 158]"
evolve,"[0.012033253061386287, 63]"
america,"[0.012020411077663015, 153]"
available,"[0.012018170693119062, 266]"
pack,"[0.011995341046721134, 55]"
occur,"[0.011978117599844669, 279]"
mid,"[0.011972975889443972, 103]"
computer,"[0.01196088076140472, 188]"
japan,"[0.011954688308262499, 52]"
array,"[0.01188035506939338, 66]"
incorporate,"[0.011878245053211873, 69]"
post,"[0.011850330095723385, 62]"
san,"[0.01183907962218645, 72]"
cross,"[0.011834038161534229, 79]"
consistent,"[0.011784516516019167, 76]"
vulnerable,"[0.01178298133550174, 76]"
check,"[0.011771721821724809, 64]"
comprehensive,"[0.011763158326122718, 93]"
light,"[0.011754852238725235, 218]"
active,"[0.011751194003328427, 124]"
decline,"[0.011748975412561128, 123]"
grind,"[0.011740240583319277, 379]"
west,"[0.01173849538769734, 183]"
dark,"[0.011712878708043748, 83]"
direction,"[0.011707469087352164, 92]"
partnership,"[0.01166244064309551, 125]"
vary,"[0.011658188800294074, 139]"
primarily,"[0.011656856930595696, 61]"
surround,"[0.011652734415402799, 87]"
nearby,"[0.011638515848716847, 60]"
environment,"[0.011634897948977934, 192]"
recovery,"[0.011634766102700483, 110]"
increase,"[0.0116253750495303, 469]"
intense,"[0.011624467950468556, 82]"
presence,"[0.011614967700157597, 62]"
visit,"[0.011614022768285638, 341]"
understand,"[0.011604073528642537, 568]"
deep,"[0.01159307327884099, 189]"
2009,"[0.011562404637614774, 123]"
precisely,"[0.011540828698925941, 69]"
colleague,"[0.011530424345004453, 185]"
european,"[0.0115111766649502, 146]"
co,"[0.011432276317099215, 204]"
generate,"[0.011421865650761056, 141]"
condition,"[0.011411043968438802, 304]"
university,"[0.011398367256675871, 463]"
extremely,"[0.011385901251808295, 75]"
objective,"[0.011382768911514416, 54]"
gather,"[0.011380851132849997, 117]"
estimate,"[0.011380088269631047, 298]"
journal,"[0.011376930074352488, 190]"
investigation,"[0.011356906430699452, 73]"
successful,"[0.011338001910534676, 57]"
produce,"[0.011333988855420923, 353]"
test,"[0.011325066358812978, 171]"
portion,"[0.011321660731469755, 85]"
agency,"[0.011321173388855304, 321]"
impact,"[0.011316823980821853, 409]"
valuable,"[0.01129381037117608, 63]"
solid,"[0.011268069158959225, 65]"
path,"[0.01124626597749695, 79]"
capture,"[0.01122592497275906, 150]"
area,"[0.011203849207070907, 554]"
significantly,"[0.011198934066918397, 107]"
excite,"[0.011195420933017638, 80]"
europe,"[0.011170853381374687, 73]"
responsible,"[0.011164901468591542, 100]"
expose,"[0.011150664617034343, 53]"
